project,role_hint,recommended_source_action,local_present,server_present,github_tracked,local_gib,server_gib,local_files,local_tracked_changes,local_untracked_files,server_tracked_changes,server_untracked_files,imports_projects,imported_by_projects,safe_to_delete_whole_project_now
qwen3_vl_2b_bdd100k_timeofday3_optical_fullstack4,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,23,0,0,0,0,,,no
qwen3_vl_2b_bdd100k_timeofday3_optical_fullstack4_token64_residual,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.404,62,0,0,0,0,,,no
qwen3_vl_2b_bdd100k_timeofday3_visionfield_mlp_probe,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,20,0,0,0,0,,,no
qwen3_vl_2b_cc3m_general_distillation_pca224_moe16,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.001,52,0,0,0,0,,,no
qwen3_vl_2b_cifar10_optical_fullstack4,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,22,0,0,0,0,,,no
qwen3_vl_2b_cifar10_optical_fullstack4_token64_residual,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_2b_cifar10_vision_homogeneous_moe9,owner_review,audit_before_archive_or_delete,True,True,True,0.001,5.650,73,0,0,0,0,,,no
qwen3_vl_2b_coco_pretrain_flickr30k_itm_homogeneous_moe9_residual15,owner_review,audit_before_archive_or_delete,True,False,False,0.001,0.000,26,0,0,0,0,,,no
qwen3_vl_2b_flickr30k_image_text_matching_multimodal_homogeneous_moe9,owner_review,audit_before_archive_or_delete,True,True,True,0.001,0.313,52,0,0,0,0,,,no
qwen3_vl_2b_kadid10k_mos_multimodal_electronic_router_moe16_224,owner_review,audit_before_archive_or_delete,True,True,True,0.001,16.226,59,0,0,0,0,,,no
qwen3_vl_2b_kadid10k_quality3_optical_fullstack4_token64_residual,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_2b_lgvq_linear_baseline,formal_reference,keep_reference,True,True,True,0.000,0.000,9,0,0,0,7,,qwen3_vl_2b_lgvq_temporal_framecount_timing,no
qwen3_vl_2b_lgvq_o2_109_highalpha_vqa,formal_reference,keep_reference,True,True,True,0.000,8.814,38,0,24,0,1,qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_2b_lgvq_single_metric_o2_16frame_54,formal_current,publish_and_keep,True,True,True,0.014,54.121,291,0,14,195,254,hardware_sdk;lgvq_four_stage_optical_electronic_109_no_attention_vqa;qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa,,no
qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa,formal_reference,keep_reference,True,True,True,0.000,0.049,36,5,2,0,0,qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_2b_lgvq_o2_109_highalpha_vqa;qwen3_vl_2b_lgvq_single_metric_o2_16frame_54,no
qwen3_vl_2b_lgvq_temporal_framecount_timing,formal_current,publish_and_keep,True,True,True,0.003,0.003,98,0,0,0,60,qwen3_vl_2b_lgvq_linear_baseline,,no
qwen3_vl_2b_multimodal_optical_weather4,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,23,0,0,0,0,,,no
qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing,owner_review,audit_before_archive_or_delete,True,True,False,0.001,0.994,438,0,35,0,35,qwen3_vl_2b_synthetic_instruction_four_stage_optical_editing;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval,,no
qwen3_vl_2b_spaq_mos_patchhidden_probe,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,10,0,0,0,0,,,no
qwen3_vl_2b_spaq_mos_vision_homogeneous_moe9,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_2b_spaq_multitask_iqa,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,15,0,0,0,0,,,no
qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe16_224,owner_review,audit_before_archive_or_delete,True,True,True,0.001,11.772,71,0,0,0,0,,,no
qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe16_224_1layer_baseline,owner_review,audit_before_archive_or_delete,True,False,False,0.001,0.000,26,0,0,0,0,,,no
qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe9,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_2b_spaq_single_attribute_multimodal_homogeneous_moe9,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_2b_spaq_single_attribute_vision_homogeneous_moe9,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_2b_spaq_zeroshot_iqa,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,7,0,0,0,0,,,no
qwen3_vl_2b_synthetic_instruction_four_stage_optical_editing,owner_review,audit_before_archive_or_delete,True,True,False,0.000,0.599,32,0,18,0,18,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval,qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing,no
qwen3_vl_8b_multimodal_mlp,owner_review,audit_before_archive_or_delete,True,False,False,0.331,0.000,27,0,0,0,0,,,no
qwen3_vl_8b_multimodal_optical_weather4,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,24,0,0,0,0,,,no
qwen3_vl_8b_vision_mlp,owner_review,audit_before_archive_or_delete,True,False,False,0.331,0.000,27,0,0,0,0,,,no
qwen3_vl_embedding_2b_abo_product_retrieval_optical_moe16,owner_review,audit_before_archive_or_delete,True,True,True,0.001,0.846,44,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_awa2_animal10_optical_retrieval,owner_review,audit_before_archive_or_delete,True,True,True,0.001,0.523,55,0,0,0,0,,,no
qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16,owner_review,audit_before_archive_or_delete,True,True,True,0.001,0.139,58,0,0,0,0,qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain;qwen3_vl_embedding_2b_fss1000_vision_optical_saliency;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation,owner_review,audit_before_archive_or_delete,True,True,True,0.000,1.183,25,0,0,0,16,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_caltech101_electronic_retrieval,required_dependency,keep_until_refactored,True,True,True,0.000,1.673,29,0,0,0,0,qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing;qwen3_vl_2b_synthetic_instruction_four_stage_optical_editing;qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval;qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval;qwen3_vl_embedding_2b_cifar10_electronic_retrieval,no
qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval,owner_review,audit_before_archive_or_delete,True,True,True,0.267,1.303,306,0,0,0,0,hardware_sdk;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing;qwen3_vl_2b_synthetic_instruction_four_stage_optical_editing;qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval;vision2_hybrid_dense,no
qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1,owner_review,audit_before_archive_or_delete,True,True,True,0.000,6.950,39,0,0,0,23,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff,formal_current,publish_and_keep,True,True,True,0.010,8.714,44,0,0,2,15,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust,required_dependency,keep_until_refactored,True,True,True,0.001,1.028,53,0,0,0,0,hardware_sdk;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,lab_qwen;qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_lsp_pose_optical_router,no
qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5,formal_reference,keep_reference,True,True,True,0.096,0.936,81,0,3,0,4,hardware_sdk;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,d2nn_mnist4_single_layer_17um_10cm_v2;lab_qwen;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval,no
qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval,formal_current,publish_and_keep,True,True,True,0.001,2.996,63,0,0,0,59,hardware_sdk;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_2b_lgvq_o2_109_highalpha_vqa;qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa;qwen3_vl_embedding_2b_lsp_pose_optical_router,no
qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval,owner_review,audit_before_archive_or_delete,True,True,True,0.000,16.671,24,0,0,0,0,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;vision2_hybrid_dense,no
qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval,owner_review,audit_before_archive_or_delete,True,True,False,0.145,2.572,75,0,41,0,38,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_caltech101_object10_optical_retrieval,owner_review,audit_before_archive_or_delete,True,True,True,0.001,1.978,79,0,0,0,0,,,no
qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval,required_dependency,keep_until_refactored,True,True,True,0.000,3.694,24,1,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval;qwen3_vl_embedding_2b_grocery10_robust_hybrid_retrieval,qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval;qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval;qwen3_vl_embedding_2b_cifar10_electronic_retrieval,no
qwen3_vl_embedding_2b_cifar10_electronic_retrieval,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.250,18,0,0,0,0,qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.440,36,0,0,0,0,qwen3_vl_embedding_2b_fss1000_vision_optical_saliency;qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16;qwen3_vl_embedding_2b_fss1000_saliency_coco_duts_pretrained_moe16;qwen3_vl_embedding_2b_isic2016_skin_lesion_optical_segmentation;vision2_hybrid_dense,no
qwen3_vl_embedding_2b_fss1000_saliency_coco_duts_pretrained_moe16,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.184,22,0,0,0,0,qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain;qwen3_vl_embedding_2b_fss1000_vision_optical_saliency;qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_fss1000_vision_optical_saliency,owner_review,audit_before_archive_or_delete,True,True,True,0.001,1.675,37,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16;qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain;qwen3_vl_embedding_2b_fss1000_saliency_coco_duts_pretrained_moe16;qwen3_vl_embedding_2b_lsp_pose_optical_moe16;qwen3_vl_embedding_2b_salicon_vision_optical_saliency,no
qwen3_vl_embedding_2b_grocery10_optical_retrieval,required_dependency,keep_until_refactored,True,True,True,0.002,12.884,80,1,0,3,0,hardware_sdk,grocery10_d2nn2_classification_baseline;grocery10_electronic_classification_baselines;grocery10_electronic_retrieval_baselines;lab_qwen;qwen3_vl_2b_lgvq_o2_109_highalpha_vqa;qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa;qwen3_vl_embedding_2b_abo_product_retrieval_optical_moe16;qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16;qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation;qwen3_vl_embedding_2b_caltech101_electronic_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval;qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval;qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval;qwen3_vl_embedding_2b_cifar10_electronic_retrieval;qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain;qwen3_vl_embedding_2b_fss1000_saliency_coco_duts_pretrained_moe16;qwen3_vl_embedding_2b_fss1000_vision_optical_saliency;qwen3_vl_embedding_2b_grocery10_robust_hybrid_retrieval;qwen3_vl_embedding_2b_grocery10_tokenwise_optical_moe4;qwen3_vl_embedding_2b_isic2016_skin_lesion_optical_segmentation;qwen3_vl_embedding_2b_lsp_pose_optical_moe16;qwen3_vl_embedding_2b_lsp_pose_optical_router;qwen3_vl_embedding_2b_salicon_vision_optical_saliency;vision2_hybrid_dense,no
qwen3_vl_embedding_2b_grocery10_robust_hybrid_retrieval,required_dependency,keep_until_refactored,True,True,True,0.000,0.277,29,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval,no
qwen3_vl_embedding_2b_grocery10_tokenwise_optical_moe4,owner_review,audit_before_archive_or_delete,True,True,True,0.001,2.548,44,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
qwen3_vl_embedding_2b_isic2016_skin_lesion_optical_segmentation,owner_review,audit_before_archive_or_delete,True,True,True,0.000,2.751,29,0,0,0,0,qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain;qwen3_vl_embedding_2b_grocery10_optical_retrieval;vision2_hybrid_dense,vision2_hybrid_dense,no
qwen3_vl_embedding_2b_lsp_pose_optical_moe16,owner_review,audit_before_archive_or_delete,True,True,True,0.000,2.502,49,0,0,0,0,qwen3_vl_embedding_2b_fss1000_vision_optical_saliency;qwen3_vl_embedding_2b_grocery10_optical_retrieval;vision2_hybrid_dense,qwen3_vl_embedding_2b_lsp_pose_optical_router;vision2_hybrid_dense,no
qwen3_vl_embedding_2b_lsp_pose_optical_router,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.040,26,0,0,12,0,qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval;qwen3_vl_embedding_2b_lsp_pose_optical_moe16;vision2_hybrid_dense,,no
qwen3_vl_embedding_2b_salicon_vision_optical_saliency,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.087,30,0,0,0,0,qwen3_vl_embedding_2b_fss1000_vision_optical_saliency;qwen3_vl_embedding_2b_grocery10_optical_retrieval;vision2_hybrid_dense,vision2_hybrid_dense,no
qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,owner_review,audit_before_archive_or_delete,False,True,False,0.000,1.016,0,0,0,0,0,,,no
qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,owner_review,audit_before_archive_or_delete,False,True,False,0.000,1.459,0,0,0,0,0,,,no
qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,owner_review,audit_before_archive_or_delete,False,True,False,0.000,1.016,0,0,0,0,0,,,no
qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,owner_review,audit_before_archive_or_delete,False,True,False,0.000,1.037,0,0,0,0,0,,,no
qwen_optical_platform_handoff,infrastructure_or_handoff,publish_and_keep,True,True,True,0.048,0.000,24,0,0,0,20,,,no
qwen_vl_cifar10,owner_review,audit_before_archive_or_delete,True,False,False,0.795,0.000,45,0,0,0,0,,,no
vision2_hybrid_dense,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.000,14,0,0,0,0,hardware_sdk;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval;qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain;qwen3_vl_embedding_2b_grocery10_optical_retrieval;qwen3_vl_embedding_2b_isic2016_skin_lesion_optical_segmentation;qwen3_vl_embedding_2b_lsp_pose_optical_moe16;qwen3_vl_embedding_2b_salicon_vision_optical_saliency,qwen3_vl_embedding_2b_isic2016_skin_lesion_optical_segmentation;qwen3_vl_embedding_2b_lsp_pose_optical_moe16;qwen3_vl_embedding_2b_lsp_pose_optical_router;qwen3_vl_embedding_2b_salicon_vision_optical_saliency,no
