record_type,run_name,relative_path,target,completion,retention_class,retention_reason,config_relative_path,architecture_label,frame_count,canvas_size,active_size,lane_grid,lane_size,lane_pitch,parallel_expert_size,parallel_expert_pitch,serial_expert_size,top_k,alpha_min,alpha_initial,alpha_max,unmodulated_power_fraction_eval,router_noise_std,phase_learning_rate,router_phase_learning_rate,epochs,batch_size,test_interval_epochs,best_epoch,best_test_srcc,final_test_srcc,final_test_krcc,final_test_plcc,final_test_rmse,final_test_mae,optical_off_srcc,optical_srcc_delta,formal_checkpoint_relative_path,formal_checkpoint_sha256,vision_router_implementation,vision_router_selected_share,language_router_selected_share,run_size_bytes,pt_count,pt_size_bytes,phase_snapshot_count,phase_snapshot_size_bytes,latest_mtime_utc
run,lgvq_spatial_balanced_router_b010,runs/lgvq_spatial_balanced_router_b010,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_b010.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,1e-05,0.005,40,32,1,7,0.6408636146496075,0.6408636146496075,0.4659242656332756,0.6752300216975851,8.51181697845459,6.685000896453857,0.5417326891782135,0.09913092547139402,runs/lgvq_spatial_balanced_router_b010/best_observed_test_checkpoint.pt,02bfc228e25053c6f714b7519f5ece72bf77c6db74b88bd54203358af6e38a3c,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.0,0.5,0.5,0.0]",406020,0,0,0,0,2026-09-04T01:41:18.240421+00:00
run,lgvq_spatial_balanced_router_b025,runs/lgvq_spatial_balanced_router_b025,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_b025.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,1e-05,0.01,40,32,1,12,0.6408520456377755,0.6408520456377755,0.46543503195792596,0.6754626155631621,8.41994857788086,6.617602348327637,0.5361860214248363,0.10466602421293925,runs/lgvq_spatial_balanced_router_b025/best_observed_test_checkpoint.pt,6612e6b58b02ba492aa0efc0aa9dfca405a7f96f7961899485e275f0cf264852,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.037634409964084625,0.46236559748649597,0.5,0.0]",406163,0,0,0,0,2026-09-04T01:41:05.929085+00:00
run,lgvq_spatial_balanced_router_b050,runs/lgvq_spatial_balanced_router_b050,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_b050.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,1e-05,0.015,40,32,1,12,0.6414845425085338,0.6414845425085338,0.46615600790054645,0.6759761772745652,8.409005165100098,6.613313674926758,0.5362055678746779,0.10527897463385594,runs/lgvq_spatial_balanced_router_b050/best_observed_test_checkpoint.pt,fca2f9000b143501c838f0aadd0a61e714613b40c671686331ff8b6c7eab8f4b,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.5,0.0,0.5,0.0]",406066,0,0,0,0,2026-09-04T01:41:17.496461+00:00
run,lgvq_spatial_balanced_router_std_light,runs/lgvq_spatial_balanced_router_std_light,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_std_light.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1_srouterstandardize_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.05,1e-05,0.005,60,32,1,13,0.6413104202468705,0.6413104202468705,0.46598863848529526,0.6752116686122805,8.505452156066895,6.6738176345825195,0.5400460999249187,0.10126432032195176,runs/lgvq_spatial_balanced_router_std_light/best_observed_test_checkpoint.pt,bf6dfc452ff6346810a88164e1cbc315578abbee68b872ac6ead23327fdec6fa,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.0,0.0,0.5,0.5]",462555,0,0,0,0,2026-09-04T02:03:26.447242+00:00
run,lgvq_spatial_balanced_router_std_mid,runs/lgvq_spatial_balanced_router_std_mid,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_std_mid.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1_srouterstandardize_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.08,1e-05,0.01,60,32,1,13,0.6406717762593775,0.6406717762593775,0.4653449099650984,0.6757326143916168,8.403550148010254,6.619539260864258,0.5406023449206765,0.10006943133870105,runs/lgvq_spatial_balanced_router_std_mid/best_observed_test_checkpoint.pt,a7e5fdc745eb8f41b6123f71bf9b9969029c9bd1d5a1e944a89a464359dd2d51,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.0,0.0,0.5,0.5]",462390,0,0,0,0,2026-09-04T02:03:57.390857+00:00
run,lgvq_spatial_balanced_router_std_strong,runs/lgvq_spatial_balanced_router_std_strong,spatial,complete,keep_formal_dependency,formal spatial-4 source,configs/release/spatial_balanced_router_std_strong.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1_srouterstandardize_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.1,1e-05,0.03,60,32,1,11,0.6410727892904038,0.6393237619075796,0.464211947769552,0.6743486517416876,8.65007209777832,6.757358074188232,0.5250012043886995,0.1143225575188801,runs/lgvq_spatial_balanced_router_std_strong/spatial_balanced_formal_checkpoint.pt,f7a914c0739c0117c33a7e1271e041dfc670bd29704364ac3b8c64a53db4bf53,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.23566308617591858,0.2634408473968506,0.2455197125673294,0.25537633895874023]",253191721,16,252187536,12,72519384,2026-09-04T02:08:22.475764+00:00
run,lgvq_spatial_balanced_router_strong_b10,runs/lgvq_spatial_balanced_router_strong_b10,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_strong_b10.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,1e-05,0.2,80,32,1,24,0.6409413860366099,0.6409413860366099,0.4654736556691378,0.6753725207709811,8.470888137817383,6.6574296951293945,0.5330526840739889,0.10788870196262101,runs/lgvq_spatial_balanced_router_strong_b10/best_observed_test_checkpoint.pt,4a64d5c5c582ac4528bb19816142f9b596919b705870ad5c1a3a5e633b17044d,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.0,0.5,0.5,0.0]",518886,0,0,0,0,2026-09-04T01:59:46.954175+00:00
run,lgvq_spatial_balanced_router_strong_b2,runs/lgvq_spatial_balanced_router_strong_b2,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_strong_b2.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,1e-05,0.05,80,32,1,13,0.6410665731049418,0.6410665731049418,0.4661045096189307,0.6760093591337563,8.417562484741211,6.6165876388549805,0.5414418753016831,0.09962469780325867,runs/lgvq_spatial_balanced_router_strong_b2/best_observed_test_checkpoint.pt,49044a7f77de56a74d9855dacae21267d64995e4a0876fefb2b4b36a6a25d562,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.0,0.5,0.5,0.0]",518928,0,0,0,0,2026-09-04T01:56:58.156747+00:00
run,lgvq_spatial_balanced_router_strong_b5,runs/lgvq_spatial_balanced_router_strong_b5,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_balanced_router_strong_b5.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim25_v1_plainvgg16corr100_local_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,1e-05,0.1,80,32,1,15,0.6416111109514129,0.6416111109514129,0.466246129893374,0.6763680534320332,8.425442695617676,6.630899429321289,0.5406744526720357,0.10093665827937714,runs/lgvq_spatial_balanced_router_strong_b5/best_observed_test_checkpoint.pt,235856ab6960f68cad38fb24088dce02d8b7da92329b1bee6d67ef6649610aa3,optical_parallel4_energy_top2,"[0.1877240091562271,0.19018816947937012,0.32571685314178467,0.2963709533214569]","[0.0,0.5,0.5,0.0]",518848,0,0,0,0,2026-09-04T01:59:09.710715+00:00
run,lgvq_spatial_fresh_a30_clean_s64,runs/lgvq_spatial_fresh_a30_clean_s64,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_fresh_a30_clean_s64.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha30_no_attention_v1_spatialgrid_v1,4,518,478,2,232,246,109,123,109,2,0.3,0.48,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6090254178128911,0.6090254178128911,0.4385400543841017,0.6556770270413828,8.767199516296387,6.858896255493164,,,,,optical_parallel16_energy_top2,"[0.375,0.2011648714542389,0.24663978815078735,0.17719534039497375]","[0.0,0.5,0.5,0.0]",63283,0,0,0,0,2026-09-03T12:30:30.034554+00:00
run,lgvq_spatial_fresh_a30_robust1_s65,runs/lgvq_spatial_fresh_a30_robust1_s65,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_fresh_a30_robust1_s65.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha30_no_attention_v1_spatialgrid_v1,4,518,478,2,232,246,109,123,109,2,0.3,0.48,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6015580523548475,0.6015580523548475,0.4327851214135419,0.6482920532419933,8.812026977539062,6.901543140411377,,,,,optical_parallel16_energy_top2,"[0.375,0.25,0.1362007111310959,0.2387992888689041]","[0.5,0.0,0.5,0.0]",53944,0,0,0,0,2026-09-03T12:30:32.366545+00:00
run,lgvq_spatial_fresh_a40_clean_s62,runs/lgvq_spatial_fresh_a40_clean_s62,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_fresh_a40_clean_s62.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6118923225479647,0.6118923225479647,0.441951815541145,0.6508179955310893,8.746426582336426,6.839562892913818,,,,,optical_parallel16_energy_top2,"[0.5,0.24843190610408783,0.20878136157989502,0.04278673976659775]","[0.0,0.5,0.0,0.5]",53748,0,0,0,0,2026-09-03T12:30:33.234541+00:00
run,lgvq_spatial_fresh_a40_robust2_s63,runs/lgvq_spatial_fresh_a40_robust2_s63,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_fresh_a40_robust2_s63.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6073680446312677,0.6073680446312677,0.43792207500471275,0.6525327726290369,8.90951919555664,7.034067153930664,,,,,optical_parallel16_energy_top2,"[0.24843190610408783,0.2477598637342453,0.2522401511669159,0.25156810879707336]","[0.0008960573468357325,0.49910393357276917,0.0,0.5]",60168,0,0,0,0,2026-09-03T12:30:29.438557+00:00
run,lgvq_spatial_fresh_a50_clean_s60,runs/lgvq_spatial_fresh_a50_clean_s60,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_fresh_a50_clean_s60.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha50_no_attention_v1_spatialgrid_v1,4,518,478,2,232,246,109,123,109,2,0.5,0.57,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6070441122999702,0.6070441122999702,0.43807656984956,0.6496236007549684,9.20273494720459,7.1144914627075195,,,,,optical_parallel16_energy_top2,"[0.19018816947937012,0.125,0.4995519816875458,0.1852598637342453]","[0.5,0.0,0.5,0.0]",60416,0,0,0,0,2026-09-03T12:30:31.670548+00:00
run,lgvq_spatial_fresh_a50_robust2_s61,runs/lgvq_spatial_fresh_a50_robust2_s61,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_fresh_a50_robust2_s61.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha50_no_attention_v1_spatialgrid_v1,4,518,478,2,232,246,109,123,109,2,0.5,0.57,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.606092448840102,0.606092448840102,0.4376903327374419,0.6462467234594299,8.824830055236816,6.92800235748291,,,,,optical_parallel16_energy_top2,"[0.058467742055654526,0.4415322542190552,0.1252240091562271,0.3747759759426117]","[0.0,0.5,0.0,0.5]",60274,0,0,0,0,2026-09-03T12:30:35.114534+00:00
run,lgvq_spatial_identity_q05_a40_clean,runs/lgvq_spatial_identity_q05_a40_clean,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_identity_q05_a40_clean.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim05_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6011911247407713,0.6011911247407713,0.4330812365328325,0.643209017718509,9.777517318725586,7.808452129364014,,,,,optical_parallel16_energy_top2,"[0.5,0.15860214829444885,0.25,0.09139785170555115]","[0.0,0.5,0.5,0.0]",66462,0,0,0,0,2026-09-03T12:40:30.324748+00:00
run,lgvq_spatial_identity_q10_a30_clean,runs/lgvq_spatial_identity_q10_a30_clean,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_identity_q10_a30_clean.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha30_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim10_v1,4,518,478,2,232,246,109,123,109,2,0.3,0.48,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6067190748690351,0.6067190748690351,0.43891341692581587,0.6472940414876492,8.904352188110352,6.956212997436523,,,,,optical_parallel16_energy_top2,"[0.3588709533214569,0.47334229946136475,0.0416666679084301,0.12612007558345795]","[0.0,0.5,0.0,0.5]",60582,0,0,0,0,2026-09-03T12:40:32.924776+00:00
run,lgvq_spatial_identity_q10_a40_clean,runs/lgvq_spatial_identity_q10_a40_clean,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_identity_q10_a40_clean.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim10_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6140395656783572,0.6140395656783572,0.4434195165671938,0.6545045075658011,8.706298828125,6.839479923248291,,,,,optical_parallel16_energy_top2,"[0.39964157342910767,0.49462366104125977,0.07258064299821854,0.03315412253141403]","[0.0,0.5,0.5,0.0]",67262,0,0,0,0,2026-09-03T12:40:32.632773+00:00
run,lgvq_spatial_identity_q10_a40_robust1,runs/lgvq_spatial_identity_q10_a40_robust1,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_identity_q10_a40_robust1.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha40_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim10_v1,4,518,478,2,232,246,109,123,109,2,0.4,0.52,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6026073789951965,0.6026073789951965,0.43516691693827025,0.6469136659850775,8.871228218078613,6.955537796020508,,,,,optical_parallel16_energy_top2,"[0.44332438707351685,0.125,0.3732078969478607,0.058467742055654526]","[0.5,0.0,0.5,0.0]",60174,0,0,0,0,2026-09-03T12:40:27.884721+00:00
run,lgvq_spatial_identity_q10_a50_clean,runs/lgvq_spatial_identity_q10_a50_clean,spatial,complete,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,configs/release/spatial_identity_q10_a50_clean.yaml,qwenfront_spatial_o2_4f196_vexpert109_alpha50_no_attention_v1_spatialgrid_v1_qualityidentity_v1_qwentrim10_v1,4,518,478,2,232,246,109,123,109,2,0.5,0.57,0.9,0.2,0.03,0.01,0.015,160,32,2,,0.6073254292264894,0.6073254292264894,0.437664583596634,0.6457392542132793,8.930505752563477,7.038732528686523,,,,,optical_parallel16_energy_top2,"[0.17405913770198822,0.4863351285457611,0.12791219353675842,0.21169355511665344]","[0.5,0.0,0.5,0.0]",66939,0,0,0,0,2026-09-03T12:40:31.088756+00:00
